symbol,timestamp,open,high,low,close,volume
SPY,2026-04-06T11:55:00-04:00,657.9100,657.9100,657.4699,657.8500,282269
SPY,2026-04-06T12:00:00-04:00,657.8680,658.0400,657.4000,657.4650,411248
SPY,2026-04-06T12:05:00-04:00,657.4700,657.7500,657.2800,657.2900,136662
SPY,2026-04-06T12:10:00-04:00,657.3000,657.6900,657.2000,657.6192,117458
SPY,2026-04-06T12:15:00-04:00,657.6500,657.8200,657.4100,657.5800,129397
SPY,2026-04-06T12:20:00-04:00,657.5800,657.9000,657.4101,657.7400,191075
SPY,2026-04-06T12:25:00-04:00,657.7200,658.0000,657.6301,657.7932,113808
SPY,2026-04-06T12:30:00-04:00,657.7800,658.0700,657.5800,657.9900,151968
SPY,2026-04-06T12:35:00-04:00,658.0000,658.5100,657.9000,658.1400,343486
SPY,2026-04-06T12:40:00-04:00,658.1300,658.3300,657.9400,658.2650,208066
SPY,2026-04-06T12:45:00-04:00,658.2800,658.4600,658.1400,658.3500,223493
SPY,2026-04-06T12:50:00-04:00,658.3700,658.4626,656.8800,658.0100,436809
SPY,2026-04-06T12:55:00-04:00,658.0300,658.1100,657.6300,657.9300,240692
SPY,2026-04-06T13:00:00-04:00,657.9300,657.9900,656.8150,657.3300,394219
SPY,2026-04-06T13:05:00-04:00,657.3400,657.4800,656.9200,657.2600,275659
SPY,2026-04-06T13:10:00-04:00,657.2800,657.3100,655.5200,656.0400,743659
SPY,2026-04-06T13:15:00-04:00,656.0500,656.7600,655.8300,656.4800,468682
SPY,2026-04-06T13:20:00-04:00,656.4600,657.2800,656.0310,657.2550,296819
SPY,2026-04-06T13:25:00-04:00,657.2600,657.5700,656.9800,657.3901,287597
SPY,2026-04-06T13:30:00-04:00,657.4100,658.0000,657.1600,657.4200,355812
SPY,2026-04-06T13:35:00-04:00,657.4200,657.7100,657.0600,657.2100,230526
SPY,2026-04-06T13:40:00-04:00,657.1900,657.2400,656.8099,657.1300,271766
SPY,2026-04-06T13:45:00-04:00,657.1200,657.1200,656.6015,656.8300,1205387
SPY,2026-04-06T13:50:00-04:00,656.8300,656.9800,656.4501,656.6050,251076
SPY,2026-04-06T13:55:00-04:00,656.6150,656.8800,656.4300,656.4700,304577
SPY,2026-04-06T14:00:00-04:00,656.5000,656.6300,656.2200,656.3300,285150
SPY,2026-04-06T14:05:00-04:00,656.3100,656.8700,656.3001,656.7450,198560
SPY,2026-04-06T14:10:00-04:00,656.7300,657.8700,656.7200,657.3400,534919
SPY,2026-04-06T14:15:00-04:00,657.3700,658.1300,657.2800,657.9650,335652
SPY,2026-04-06T14:20:00-04:00,657.9600,658.6500,657.8000,658.3601,461839
SPY,2026-04-06T14:25:00-04:00,658.3900,658.6200,657.8700,658.2400,475398
SPY,2026-04-06T14:30:00-04:00,658.2300,658.5224,657.7300,657.9600,350382
SPY,2026-04-06T14:35:00-04:00,657.9300,658.2300,657.8800,657.8901,91657
SPY,2026-04-06T14:40:00-04:00,657.9300,657.9900,657.7400,657.9000,672512
SPY,2026-04-06T14:45:00-04:00,657.8999,658.2800,657.8600,658.1299,201787
SPY,2026-04-06T14:50:00-04:00,658.1300,658.3900,658.1050,658.2800,224285
SPY,2026-04-06T14:55:00-04:00,658.2700,658.4100,658.2300,658.2900,209735
SPY,2026-04-06T15:00:00-04:00,658.3200,658.3701,658.1207,658.3701,282855
SPY,2026-04-06T15:05:00-04:00,658.3800,658.4200,657.9100,657.9800,263571
SPY,2026-04-06T15:10:00-04:00,657.9800,658.2199,657.8600,658.1300,325815
SPY,2026-04-06T15:15:00-04:00,658.1349,658.1900,657.8700,658.0500,358348
SPY,2026-04-06T15:20:00-04:00,658.0600,658.2900,657.8900,657.9701,284745
SPY,2026-04-06T15:25:00-04:00,657.9750,658.1600,657.8600,657.8801,263543
SPY,2026-04-06T15:30:00-04:00,657.8800,658.1895,657.8100,658.1000,299320
SPY,2026-04-06T15:35:00-04:00,658.1100,658.2700,658.0200,658.1100,383487
SPY,2026-04-06T15:40:00-04:00,658.1100,658.2900,657.8300,658.2700,398508
SPY,2026-04-06T15:45:00-04:00,658.2400,658.7800,658.2100,658.7300,1203274
SPY,2026-04-06T15:50:00-04:00,658.7400,658.9000,658.2800,658.3000,1443612
SPY,2026-04-06T15:55:00-04:00,658.3100,658.9200,658.0700,658.8700,1534663
SPY,2026-04-07T09:30:00-04:00,656.6500,657.5800,655.6600,655.7400,4179834
SPY,2026-04-07T09:35:00-04:00,655.7200,656.3488,655.1400,655.2400,861898
SPY,2026-04-07T09:40:00-04:00,655.1900,655.6600,654.8600,654.9800,565117
SPY,2026-04-07T09:45:00-04:00,655.0100,655.2050,654.1600,654.5800,725807
SPY,2026-04-07T09:50:00-04:00,654.6000,655.7600,654.2800,655.7200,554853
SPY,2026-04-07T09:55:00-04:00,655.7200,655.9686,654.0100,654.0500,556793
